YEAR,MONTH,Datetime,Rainfall
1934,Oct,01-10-1934,0
1934,Nov,01-11-1934,1.28
1934,Dec,01-12-1934,11.999
1935,Jan,01-01-1935,16.657
1935,Feb,01-02-1935,4.605
1935,Mar,01-03-1935,2.365
1935,Apr,01-04-1935,20.171
1935,May,01-05-1935,2.732
1935,Jun,01-06-1935,18.264
1935,Jul,01-07-1935,278.353
1935,Aug,01-08-1935,61.734
1935,Sep,01-09-1935,105.432
1935,Oct,01-10-1935,9.898
1935,Nov,01-11-1935,1.252
1935,Dec,01-12-1935,2.387
1936,Jan,01-01-1936,0.188
1936,Feb,01-02-1936,10.556
1936,Mar,01-03-1936,15.448
1936,Apr,01-04-1936,1.86
1936,May,01-05-1936,4.594
1936,Jun,01-06-1936,204.245
1936,Jul,01-07-1936,144.391
1936,Aug,01-08-1936,147.045
1936,Sep,01-09-1936,72.121
1936,Oct,01-10-1936,0.024
1936,Nov,01-11-1936,16.527
1936,Dec,01-12-1936,7.96
1937,Jan,01-01-1937,0
1937,Feb,01-02-1937,29.334
1937,Mar,01-03-1937,0
1937,Apr,01-04-1937,3.242
1937,May,01-05-1937,4.778
1937,Jun,01-06-1937,26.917
1937,Jul,01-07-1937,190.629
1937,Aug,01-08-1937,28.031
1937,Sep,01-09-1937,132.936
1937,Oct,01-10-1937,2.554
1937,Nov,01-11-1937,2.652
1937,Dec,01-12-1937,4.674
1938,Jan,01-01-1938,4.187
1938,Feb,01-02-1938,0.195
1938,Mar,01-03-1938,3.974
1938,Apr,01-04-1938,0.405
1938,May,01-05-1938,4.562
1938,Jun,01-06-1938,144.559
1938,Jul,01-07-1938,196.205
1938,Aug,01-08-1938,65.293
1938,Sep,01-09-1938,13.229
1938,Oct,01-10-1938,1.556
1938,Nov,01-11-1938,0
1938,Dec,01-12-1938,0.004
1939,Jan,01-01-1939,2.275
1939,Feb,01-02-1939,9.616
1939,Mar,01-03-1939,7.549
1939,Apr,01-04-1939,0.928
1939,May,01-05-1939,0.175
1939,Jun,01-06-1939,58.049
1939,Jul,01-07-1939,130.734
1939,Aug,01-08-1939,103.327
1939,Sep,01-09-1939,50.634
1939,Oct,01-10-1939,0.083
1939,Nov,01-11-1939,0.104
1939,Dec,01-12-1939,0.214
1940,Jan,01-01-1940,7.407
1940,Feb,01-02-1940,19.637
1940,Mar,01-03-1940,15.51
1940,Apr,01-04-1940,2.828
1940,May,01-05-1940,6.157
1940,Jun,01-06-1940,26.369
1940,Jul,01-07-1940,190.205
1940,Aug,01-08-1940,174.942
1940,Sep,01-09-1940,9.726
1940,Oct,01-10-1940,4.961
1940,Nov,01-11-1940,3.819
1940,Dec,01-12-1940,1.013
1941,Jan,01-01-1941,6.951
1941,Feb,01-02-1941,1.502
1941,Mar,01-03-1941,0.739
1941,Apr,01-04-1941,0.072
1941,May,01-05-1941,13.779
1941,Jun,01-06-1941,17.494
1941,Jul,01-07-1941,121.011
1941,Aug,01-08-1941,113.515
1941,Sep,01-09-1941,55.006
1941,Oct,01-10-1941,3.324
1941,Nov,01-11-1941,0
1941,Dec,01-12-1941,1.956
1942,Jan,01-01-1942,8.168
1942,Feb,01-02-1942,10.111
1942,Mar,01-03-1942,0.014
1942,Apr,01-04-1942,13.308
1942,May,01-05-1942,13.565
1942,Jun,01-06-1942,23.811
1942,Jul,01-07-1942,362.346
1942,Aug,01-08-1942,179.874
1942,Sep,01-09-1942,102.512
1942,Oct,01-10-1942,0
1942,Nov,01-11-1942,0
1942,Dec,01-12-1942,4.084
1943,Jan,01-01-1943,4.82
1943,Feb,01-02-1943,0
1943,Mar,01-03-1943,0
1943,Apr,01-04-1943,17.058
1943,May,01-05-1943,10.931
1943,Jun,01-06-1943,44.92
1943,Jul,01-07-1943,414.487
1943,Aug,01-08-1943,158.939
1943,Sep,01-09-1943,185.163
1943,Oct,01-10-1943,0.336
1943,Nov,01-11-1943,0
1943,Dec,01-12-1943,0
1944,Jan,01-01-1944,21.933
1944,Feb,01-02-1944,9.973
1944,Mar,01-03-1944,28.486
1944,Apr,01-04-1944,14.421
1944,May,01-05-1944,0.2
1944,Jun,01-06-1944,39.239
1944,Jul,01-07-1944,254.778
1944,Aug,01-08-1944,236.502
1944,Sep,01-09-1944,57.422
1944,Oct,01-10-1944,12.332
1944,Nov,01-11-1944,0
1944,Dec,01-12-1944,0
1945,Jan,01-01-1945,10.372
1945,Feb,01-02-1945,0
1945,Mar,01-03-1945,0
1945,Apr,01-04-1945,3.931
1945,May,01-05-1945,22.404
1945,Jun,01-06-1945,27.52
1945,Jul,01-07-1945,380.205
1945,Aug,01-08-1945,198.68
1945,Sep,01-09-1945,79.617
1945,Oct,01-10-1945,0.724
1945,Nov,01-11-1945,0
1945,Dec,01-12-1945,0
1946,Jan,01-01-1946,0
1946,Feb,01-02-1946,1.516
1946,Mar,01-03-1946,0
1946,Apr,01-04-1946,0.322
1946,May,01-05-1946,9.436
1946,Jun,01-06-1946,49.708
1946,Jul,01-07-1946,174.042
1946,Aug,01-08-1946,212.901
1946,Sep,01-09-1946,13.096
1946,Oct,01-10-1946,0.857
1946,Nov,01-11-1946,1.482
1946,Dec,01-12-1946,1.754
1947,Jan,01-01-1947,1.781
1947,Feb,01-02-1947,2.206
1947,Mar,01-03-1947,1.238
1947,Apr,01-04-1947,0.448
1947,May,01-05-1947,1.733
1947,Jun,01-06-1947,11.996
1947,Jul,01-07-1947,153.368
1947,Aug,01-08-1947,206.671
1947,Sep,01-09-1947,248.532
1947,Oct,01-10-1947,31.136
1947,Nov,01-11-1947,0
1947,Dec,01-12-1947,2.205
1948,Jan,01-01-1948,18.619
1948,Feb,01-02-1948,11.633
1948,Mar,01-03-1948,3.677
1948,Apr,01-04-1948,0.748
1948,May,01-05-1948,4.445
1948,Jun,01-06-1948,21.454
1948,Jul,01-07-1948,320.477
1948,Aug,01-08-1948,168.771
1948,Sep,01-09-1948,68.469
1948,Oct,01-10-1948,4.852
1948,Nov,01-11-1948,3.861
1948,Dec,01-12-1948,0.004
1949,Jan,01-01-1949,6.948
1949,Feb,01-02-1949,5.168
1949,Mar,01-03-1949,0.486
1949,Apr,01-04-1949,0.014
1949,May,01-05-1949,3.608
1949,Jun,01-06-1949,18.642
1949,Jul,01-07-1949,339.454
1949,Aug,01-08-1949,126.777
1949,Sep,01-09-1949,83.876
1949,Oct,01-10-1949,7.614
1949,Nov,01-11-1949,0
1949,Dec,01-12-1949,0
1950,Jan,01-01-1950,1.77
1950,Feb,01-02-1950,0.172
1950,Mar,01-03-1950,4.823
1950,Apr,01-04-1950,0
1950,May,01-05-1950,10.816
1950,Jun,01-06-1950,13.86
1950,Jul,01-07-1950,304.719
1950,Aug,01-08-1950,109.121
1950,Sep,01-09-1950,118.001
1950,Oct,01-10-1950,0.083
1950,Nov,01-11-1950,0.002
1950,Dec,01-12-1950,0.7
1951,Jan,01-01-1951,2.422
1951,Feb,01-02-1951,0.031
1951,Mar,01-03-1951,8.487
1951,Apr,01-04-1951,4.305
1951,May,01-05-1951,15.08
1951,Jun,01-06-1951,72.224
1951,Jul,01-07-1951,113.013
1951,Aug,01-08-1951,191.756
1951,Sep,01-09-1951,64.641
1951,Oct,01-10-1951,2.247
1951,Nov,01-11-1951,49.122
1951,Dec,01-12-1951,0
1952,Jan,01-01-1952,0.412
1952,Feb,01-02-1952,5.17
1952,Mar,01-03-1952,5.644
1952,Apr,01-04-1952,3.978
1952,May,01-05-1952,5.358
1952,Jun,01-06-1952,34.802
1952,Jul,01-07-1952,316.059
1952,Aug,01-08-1952,285.41
1952,Sep,01-09-1952,3.808
1952,Oct,01-10-1952,0.003
1952,Nov,01-11-1952,0
1952,Dec,01-12-1952,10.574
1953,Jan,01-01-1953,11.839
1953,Feb,01-02-1953,0
1953,Mar,01-03-1953,0
1953,Apr,01-04-1953,2.326
1953,May,01-05-1953,3.544
1953,Jun,01-06-1953,38.149
1953,Jul,01-07-1953,184.566
1953,Aug,01-08-1953,216.927
1953,Sep,01-09-1953,78.726
1953,Oct,01-10-1953,0.469
1953,Nov,01-11-1953,0
1953,Dec,01-12-1953,0
1954,Jan,01-01-1954,7.144
1954,Feb,01-02-1954,17.738
1954,Mar,01-03-1954,2.96
1954,Apr,01-04-1954,0
1954,May,01-05-1954,1.024
1954,Jun,01-06-1954,12.355
1954,Jul,01-07-1954,248.264
1954,Aug,01-08-1954,120.657
1954,Sep,01-09-1954,172.374
1954,Oct,01-10-1954,28.521
1954,Nov,01-11-1954,11.193
1954,Dec,01-12-1954,0
1955,Jan,01-01-1955,6.429
1955,Feb,01-02-1955,0.032
1955,Mar,01-03-1955,1.634
1955,Apr,01-04-1955,2.025
1955,May,01-05-1955,8.005
1955,Jun,01-06-1955,68.292
1955,Jul,01-07-1955,121.472
1955,Aug,01-08-1955,295.65
1955,Sep,01-09-1955,157.017
1955,Oct,01-10-1955,28.629
1955,Nov,01-11-1955,0
1955,Dec,01-12-1955,6.75
1956,Jan,01-01-1956,9.101
1956,Feb,01-02-1956,0.397
1956,Mar,01-03-1956,11.311
1956,Apr,01-04-1956,0.87
1956,May,01-05-1956,0.368
1956,Jun,01-06-1956,50.258
1956,Jul,01-07-1956,517.613
1956,Aug,01-08-1956,136.114
1956,Sep,01-09-1956,13.82
1956,Oct,01-10-1956,46.525
1956,Nov,01-11-1956,0.88
